2020.06.19 17:59:59.284 INFO  View.MyViewController - User generated new maze
2020.06.19 18:01:56.031 INFO  Model.MyModel - Maze-Generating server started
2020.06.19 18:01:56.034 INFO  Model.MyModel - Solve-Maze server started
2020.06.19 18:01:56.897 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.19 18:01:57.034 INFO  View.MyViewController - User generated new maze
2020.06.19 18:01:57.034 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.19 18:01:57.093 INFO  View.MyViewController - User generated new maze
2020.06.19 18:02:14.781 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.19 18:02:14.781 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.19 18:20:14.141 INFO  Model.MyModel - Maze-Generating server started
2020.06.19 18:20:14.143 INFO  Model.MyModel - Solve-Maze server started
2020.06.19 18:20:15.129 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.19 18:20:15.288 INFO  View.MyViewController - User generated new maze
2020.06.19 18:20:15.288 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.19 18:20:15.360 INFO  View.MyViewController - User generated new maze
2020.06.19 18:20:28.696 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.19 18:20:28.697 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.19 18:21:01.241 INFO  Model.MyModel - Maze-Generating server started
2020.06.19 18:21:01.245 INFO  Model.MyModel - Solve-Maze server started
2020.06.19 18:21:02.173 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.19 18:21:02.310 INFO  View.MyViewController - User generated new maze
2020.06.19 18:21:02.311 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.19 18:21:02.374 INFO  View.MyViewController - User generated new maze
2020.06.19 18:21:09.486 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.19 18:21:09.487 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 13:04:02.825 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 13:04:02.840 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 13:04:06.893 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 13:04:07.363 INFO  View.MyViewController - User generated new maze
2020.06.20 13:04:07.364 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 13:04:07.426 INFO  View.MyViewController - User generated new maze
2020.06.20 13:04:17.874 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 13:04:17.875 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 13:06:26.391 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 13:06:26.394 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 13:06:27.338 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 13:06:27.525 INFO  View.MyViewController - User generated new maze
2020.06.20 13:06:27.525 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 13:06:27.593 INFO  View.MyViewController - User generated new maze
2020.06.20 13:06:57.459 INFO  View.MyViewController - user requested solution
2020.06.20 13:06:57.565 INFO  Model.MyModel - Server generated solution
2020.06.20 13:07:00.979 INFO  View.MyViewController - user requested solution
2020.06.20 13:07:01.037 INFO  Model.MyModel - Server generated solution
2020.06.20 13:07:01.666 INFO  View.MyViewController - user requested solution
2020.06.20 13:07:01.723 INFO  Model.MyModel - Server generated solution
2020.06.20 13:07:01.914 INFO  View.MyViewController - user requested solution
2020.06.20 13:07:01.971 INFO  Model.MyModel - Server generated solution
2020.06.20 13:07:02.074 INFO  View.MyViewController - user requested solution
2020.06.20 13:07:02.131 INFO  Model.MyModel - Server generated solution
2020.06.20 13:07:02.485 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 13:07:02.563 INFO  View.MyViewController - User generated new maze
2020.06.20 13:07:03.243 INFO  View.MyViewController - user requested solution
2020.06.20 13:07:03.315 INFO  Model.MyModel - Server generated solution
2020.06.20 13:07:14.978 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 13:07:14.978 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 13:24:12.602 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 13:24:12.605 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 13:24:14.144 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 13:24:14.320 INFO  View.MyViewController - User generated new maze
2020.06.20 13:24:14.320 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 13:24:14.414 INFO  View.MyViewController - User generated new maze
2020.06.20 13:25:16.922 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 13:25:16.923 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 13:36:29.478 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 13:36:29.480 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 13:36:31.209 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 13:36:31.335 INFO  View.MyViewController - User generated new maze
2020.06.20 13:36:31.336 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 13:36:31.392 INFO  View.MyViewController - User generated new maze
2020.06.20 13:36:41.742 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 13:36:41.742 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:08:40.682 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:08:40.685 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:08:41.604 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:08:41.768 INFO  View.MyViewController - User generated new maze
2020.06.20 14:08:41.768 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:08:41.834 INFO  View.MyViewController - User generated new maze
2020.06.20 14:09:01.724 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:09:01.724 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:14:20.934 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:14:20.941 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:14:21.952 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
